시도,2021년1분기,2021년2분기,2021년3분기,2021년4분기,2022년1분기,2022년2분기,2022년3분기,2022년4분기,2023년1분기,2023년2분기
전국,20344 ,21693 ,15172 ,33221 ,12163 ,11114 ,15696 ,11304 ,6833 ,14436 
서울,55 ,48 ,593 ,60 ,464 ,148 ,0 ,219 ,738 ,986 
인천,104 ,153 ,0 ,2373 ,2455 ,1170 ,474 ,485 ,868 ,1370 
경기,3166 ,8463 ,6869 ,6676 ,5042 ,2957 ,4912 ,3352 ,1665 ,4835 
부산,0 ,656 ,0 ,2522 ,725 ,0 ,0 ,0 ,2384 ,2382 
대구,3360 ,3309 ,941 ,2883 ,424 ,440 ,117 ,481 ,0 ,0 
광주,213 ,294 ,0 ,418 ,0 ,0 ,131 ,0 ,176 ,0 
대전,0 ,316 ,934 ,743 ,0 ,307 ,0 ,851 ,0 ,0 
울산,924 ,303 ,0 ,967 ,447 ,1279 ,0 ,631 ,95 ,0 
세종,0 ,0 ,0 ,660 ,0 ,0 ,0 ,190 ,0 ,0 
강원,920 ,639 ,2204 ,326 ,234 ,197 ,385 ,346 ,0 ,1152 
충북,2450 ,1082 ,0 ,2409 ,0 ,875 ,2549 ,1319 ,200 ,874 
충남,4739 ,2164 ,0 ,1594 ,0 ,195 ,316 ,0 ,0 ,1060 
전북,0 ,794 ,218 ,2546 ,878 ,288 ,704 ,0 ,707 ,206 
전남,565 ,0 ,238 ,2398 ,140 ,0 ,2154 ,0 ,0 ,0 
경북,0 ,2843 ,2181 ,5282 ,0 ,2681 ,2043 ,1455 ,0 ,0 
경남,3564 ,629 ,994 ,1279 ,1093 ,443 ,1795 ,1975 ,0 ,1146 
제주,284 ,0 ,0 ,85 ,261 ,134 ,116 ,0 ,0 ,425 
